Label=Normal
network[son<-parent]=
18<-18: 0.010050251256281407
456<-18: 0.005025125628140704
354<-456: 0.005025125628140704
352<-354: 0.005025125628140704
352<-352: 0.005025125628140704
579<-352: 0.005025125628140704
579<-579: 0.02512562814070352
195<-579: 0.005025125628140704
195<-195: 0.005025125628140704
119<-195: 0.005025125628140704
119<-119: 0.1708542713567839

nodeInfo=(Event,position embedding)
352: 352,44
354: 354,46
579: 579,38
195: 195,36
456: 456,47
18: 18,48
119: 119,1


Sequence Order: 18 18 18 456 354 352 352 579 579 579 579 579 579 195 195 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119 119
